"key","value","date"
"drivers",1687,"1969-01-01"
"front",867,"1969-01-01"
"rear",269,"1969-01-01"
"drivers",1508,"1969-02-01"
"front",825,"1969-02-01"
"rear",265,"1969-02-01"
"drivers",1507,"1969-03-01"
"front",806,"1969-03-01"
"rear",319,"1969-03-01"
"drivers",1385,"1969-04-01"
"front",814,"1969-04-01"
"rear",407,"1969-04-01"
"drivers",1632,"1969-05-01"
"front",991,"1969-05-01"
"rear",454,"1969-05-01"
"drivers",1511,"1969-06-01"
"front",945,"1969-06-01"
"rear",427,"1969-06-01"
"drivers",1559,"1969-07-01"
"front",1004,"1969-07-01"
"rear",522,"1969-07-01"
"drivers",1630,"1969-08-01"
"front",1091,"1969-08-01"
"rear",536,"1969-08-01"
"drivers",1579,"1969-09-01"
"front",958,"1969-09-01"
"rear",405,"1969-09-01"
"drivers",1653,"1969-10-01"
"front",850,"1969-10-01"
"rear",437,"1969-10-01"
"drivers",2152,"1969-11-01"
"front",1109,"1969-11-01"
"rear",434,"1969-11-01"
"drivers",2148,"1969-12-01"
"front",1113,"1969-12-01"
"rear",437,"1969-12-01"
"drivers",1752,"1970-01-01"
"front",925,"1970-01-01"
"rear",316,"1970-01-01"
"drivers",1765,"1970-02-01"
"front",903,"1970-02-01"
"rear",311,"1970-02-01"
"drivers",1717,"1970-03-01"
"front",1006,"1970-03-01"
"rear",351,"1970-03-01"
"drivers",1558,"1970-04-01"
"front",892,"1970-04-01"
"rear",362,"1970-04-01"
"drivers",1575,"1970-05-01"
"front",990,"1970-05-01"
"rear",486,"1970-05-01"
"drivers",1520,"1970-06-01"
"front",866,"1970-06-01"
"rear",429,"1970-06-01"
"drivers",1805,"1970-07-01"
"front",1095,"1970-07-01"
"rear",551,"1970-07-01"
"drivers",1800,"1970-08-01"
"front",1204,"1970-08-01"
"rear",646,"1970-08-01"
"drivers",1719,"1970-09-01"
"front",1029,"1970-09-01"
"rear",456,"1970-09-01"
"drivers",2008,"1970-10-01"
"front",1147,"1970-10-01"
"rear",475,"1970-10-01"
"drivers",2242,"1970-11-01"
"front",1171,"1970-11-01"
"rear",456,"1970-11-01"
"drivers",2478,"1970-12-01"
"front",1299,"1970-12-01"
"rear",468,"1970-12-01"
"drivers",2030,"1971-01-01"
"front",944,"1971-01-01"
"rear",356,"1971-01-01"
"drivers",1655,"1971-02-01"
"front",874,"1971-02-01"
"rear",271,"1971-02-01"
"drivers",1693,"1971-03-01"
"front",840,"1971-03-01"
"rear",354,"1971-03-01"
"drivers",1623,"1971-04-01"
"front",893,"1971-04-01"
"rear",427,"1971-04-01"
"drivers",1805,"1971-05-01"
"front",1007,"1971-05-01"
"rear",465,"1971-05-01"
"drivers",1746,"1971-06-01"
"front",973,"1971-06-01"
"rear",440,"1971-06-01"
"drivers",1795,"1971-07-01"
"front",1097,"1971-07-01"
"rear",539,"1971-07-01"
"drivers",1926,"1971-08-01"
"front",1194,"1971-08-01"
"rear",646,"1971-08-01"
"drivers",1619,"1971-09-01"
"front",988,"1971-09-01"
"rear",457,"1971-09-01"
"drivers",1992,"1971-10-01"
"front",1077,"1971-10-01"
"rear",446,"1971-10-01"
"drivers",2233,"1971-11-01"
"front",1045,"1971-11-01"
"rear",402,"1971-11-01"
"drivers",2192,"1971-12-01"
"front",1115,"1971-12-01"
"rear",441,"1971-12-01"
"drivers",2080,"1972-01-01"
"front",1005,"1972-01-01"
"rear",359,"1972-01-01"
"drivers",1768,"1972-02-01"
"front",857,"1972-02-01"
"rear",334,"1972-02-01"
"drivers",1835,"1972-03-01"
"front",879,"1972-03-01"
"rear",312,"1972-03-01"
"drivers",1569,"1972-04-01"
"front",887,"1972-04-01"
"rear",427,"1972-04-01"
"drivers",1976,"1972-05-01"
"front",1075,"1972-05-01"
"rear",434,"1972-05-01"
"drivers",1853,"1972-06-01"
"front",1121,"1972-06-01"
"rear",486,"1972-06-01"
"drivers",1965,"1972-07-01"
"front",1190,"1972-07-01"
"rear",569,"1972-07-01"
"drivers",1689,"1972-08-01"
"front",1058,"1972-08-01"
"rear",523,"1972-08-01"
"drivers",1778,"1972-09-01"
"front",939,"1972-09-01"
"rear",418,"1972-09-01"
"drivers",1976,"1972-10-01"
"front",1074,"1972-10-01"
"rear",452,"1972-10-01"
"drivers",2397,"1972-11-01"
"front",1089,"1972-11-01"
"rear",462,"1972-11-01"
"drivers",2654,"1972-12-01"
"front",1208,"1972-12-01"
"rear",497,"1972-12-01"
"drivers",2097,"1973-01-01"
"front",903,"1973-01-01"
"rear",354,"1973-01-01"
"drivers",1963,"1973-02-01"
"front",916,"1973-02-01"
"rear",347,"1973-02-01"
"drivers",1677,"1973-03-01"
"front",787,"1973-03-01"
"rear",276,"1973-03-01"
"drivers",1941,"1973-04-01"
"front",1114,"1973-04-01"
"rear",472,"1973-04-01"
"drivers",2003,"1973-05-01"
"front",1014,"1973-05-01"
"rear",487,"1973-05-01"
"drivers",1813,"1973-06-01"
"front",1022,"1973-06-01"
"rear",505,"1973-06-01"
"drivers",2012,"1973-07-01"
"front",1114,"1973-07-01"
"rear",619,"1973-07-01"
"drivers",1912,"1973-08-01"
"front",1132,"1973-08-01"
"rear",640,"1973-08-01"
"drivers",2084,"1973-09-01"
"front",1111,"1973-09-01"
"rear",559,"1973-09-01"
"drivers",2080,"1973-10-01"
"front",1008,"1973-10-01"
"rear",453,"1973-10-01"
"drivers",2118,"1973-11-01"
"front",916,"1973-11-01"
"rear",418,"1973-11-01"
"drivers",2150,"1973-12-01"
"front",992,"1973-12-01"
"rear",419,"1973-12-01"
"drivers",1608,"1974-01-01"
"front",731,"1974-01-01"
"rear",262,"1974-01-01"
"drivers",1503,"1974-02-01"
"front",665,"1974-02-01"
"rear",299,"1974-02-01"
"drivers",1548,"1974-03-01"
"front",724,"1974-03-01"
"rear",303,"1974-03-01"
"drivers",1382,"1974-04-01"
"front",744,"1974-04-01"
"rear",401,"1974-04-01"
"drivers",1731,"1974-05-01"
"front",910,"1974-05-01"
"rear",413,"1974-05-01"
"drivers",1798,"1974-06-01"
"front",883,"1974-06-01"
"rear",426,"1974-06-01"
"drivers",1779,"1974-07-01"
"front",900,"1974-07-01"
"rear",516,"1974-07-01"
"drivers",1887,"1974-08-01"
"front",1057,"1974-08-01"
"rear",600,"1974-08-01"
"drivers",2004,"1974-09-01"
"front",1076,"1974-09-01"
"rear",459,"1974-09-01"
"drivers",2077,"1974-10-01"
"front",919,"1974-10-01"
"rear",443,"1974-10-01"
"drivers",2092,"1974-11-01"
"front",920,"1974-11-01"
"rear",412,"1974-11-01"
"drivers",2051,"1974-12-01"
"front",953,"1974-12-01"
"rear",400,"1974-12-01"
"drivers",1577,"1975-01-01"
"front",664,"1975-01-01"
"rear",278,"1975-01-01"
"drivers",1356,"1975-02-01"
"front",607,"1975-02-01"
"rear",302,"1975-02-01"
"drivers",1652,"1975-03-01"
"front",777,"1975-03-01"
"rear",381,"1975-03-01"
"drivers",1382,"1975-04-01"
"front",633,"1975-04-01"
"rear",279,"1975-04-01"
"drivers",1519,"1975-05-01"
"front",791,"1975-05-01"
"rear",442,"1975-05-01"
"drivers",1421,"1975-06-01"
"front",790,"1975-06-01"
"rear",409,"1975-06-01"
"drivers",1442,"1975-07-01"
"front",803,"1975-07-01"
"rear",416,"1975-07-01"
"drivers",1543,"1975-08-01"
"front",884,"1975-08-01"
"rear",511,"1975-08-01"
"drivers",1656,"1975-09-01"
"front",769,"1975-09-01"
"rear",393,"1975-09-01"
"drivers",1561,"1975-10-01"
"front",732,"1975-10-01"
"rear",345,"1975-10-01"
"drivers",1905,"1975-11-01"
"front",859,"1975-11-01"
"rear",391,"1975-11-01"
"drivers",2199,"1975-12-01"
"front",994,"1975-12-01"
"rear",470,"1975-12-01"
"drivers",1473,"1976-01-01"
"front",704,"1976-01-01"
"rear",266,"1976-01-01"
"drivers",1655,"1976-02-01"
"front",684,"1976-02-01"
"rear",312,"1976-02-01"
"drivers",1407,"1976-03-01"
"front",671,"1976-03-01"
"rear",300,"1976-03-01"
"drivers",1395,"1976-04-01"
"front",643,"1976-04-01"
"rear",373,"1976-04-01"
"drivers",1530,"1976-05-01"
"front",771,"1976-05-01"
"rear",412,"1976-05-01"
"drivers",1309,"1976-06-01"
"front",644,"1976-06-01"
"rear",322,"1976-06-01"
"drivers",1526,"1976-07-01"
"front",828,"1976-07-01"
"rear",458,"1976-07-01"
"drivers",1327,"1976-08-01"
"front",748,"1976-08-01"
"rear",427,"1976-08-01"
"drivers",1627,"1976-09-01"
"front",767,"1976-09-01"
"rear",346,"1976-09-01"
"drivers",1748,"1976-10-01"
"front",825,"1976-10-01"
"rear",421,"1976-10-01"
"drivers",1958,"1976-11-01"
"front",810,"1976-11-01"
"rear",344,"1976-11-01"
"drivers",2274,"1976-12-01"
"front",986,"1976-12-01"
"rear",370,"1976-12-01"
"drivers",1648,"1977-01-01"
"front",714,"1977-01-01"
"rear",291,"1977-01-01"
"drivers",1401,"1977-02-01"
"front",567,"1977-02-01"
"rear",224,"1977-02-01"
"drivers",1411,"1977-03-01"
"front",616,"1977-03-01"
"rear",266,"1977-03-01"
"drivers",1403,"1977-04-01"
"front",678,"1977-04-01"
"rear",338,"1977-04-01"
"drivers",1394,"1977-05-01"
"front",742,"1977-05-01"
"rear",298,"1977-05-01"
"drivers",1520,"1977-06-01"
"front",840,"1977-06-01"
"rear",386,"1977-06-01"
"drivers",1528,"1977-07-01"
"front",888,"1977-07-01"
"rear",479,"1977-07-01"
"drivers",1643,"1977-08-01"
"front",852,"1977-08-01"
"rear",473,"1977-08-01"
"drivers",1515,"1977-09-01"
"front",774,"1977-09-01"
"rear",332,"1977-09-01"
"drivers",1685,"1977-10-01"
"front",831,"1977-10-01"
"rear",391,"1977-10-01"
"drivers",2000,"1977-11-01"
