name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
USA,133.771,286.22,403.187,415.115,358.167,339.037,343.474,353.274,351.179,353.638,344.934,359.524,389.566,384.261,371.45,369.734,440.352,508.501,522.093,499.637,462.57,415.992,417.618,396.804,391.792,369.43,359.713,374.591,376.673,378.917,377.26,420.423,497.983,482.484,501.126,539.726,576.961,570.108,557.4921726,551.7662799,527.0970699,462.9405781,489.1661403,463.4569512,437.1445533,411.6305562,389.2401262,387.2265511,378.4828879,379.4142742,394.0968163,397.2975328,446.089226,507.7232105,553.3777405,579.7677202,588.7713646,604.2292032,648.9320353,700.9835312,720.2204365,711.338,670.8968808,617.6866297,577.5107765
France,20.078,26.892,34.162,38.049,32.434,30.225,38.632,41.354,38.092,38.954,39.985,41.555,42.947,42.153,43.393,44.021,45.348,47.702,47.759,45.683,45.939,46.568,47.787,49.531,49.348,51.562,53.793,56.728,59.944,61.34,62.559,64.116,65.342,66.555,66.16,66.083,68.025,70.018,69.94916621,70.80660575,70.49340122,70.95248236,68.72016126,67.95885656,68.30841665,64.92692725,63.3689408,63.58654274,61.93081401,62.45412172,61.73345219,61.545875,62.8144069,64.70247288,66.47361965,65.11766294,65.41217137,65.66330929,65.00578678,69.3920557,66.2200839,64.60090444,63.70806894,63.54785382,63.02161953
UK,29.712,34.983,44.751,49.719,47.202,44.943,44.112,42.596,41.479,41.269,42.122,42.081,42.622,43.35,44.524,44.658,44.417,45.552,44.903,42.435,43.709,43.613,46.39,46.544,46.557,48.913,48.195,46.093,47.558,49.044,52.297,51.228,55.85,58.335,61.228,61.803,61.039,60.374,58.21476271,58.72733535,58.8109916,59.49031224,55.56569413,53.02754288,51.56861378,48.36813248,48.07900852,46.56442287,46.82313961,46.76549495,47.98848319,49.93032958,53.16488848,56.98807098,57.6523851,58.13450486,58.50937912,60.36100647,63.05509206,64.28015958,62.92750519,60.27045155,57.70217144,55.26432168,54.91418586
Germany,0,0,0,20.30637701,20.55913153,23.75551417,22.6243243,27.53483157,20.62640319,33.0462239,35.5812876,37.83271666,48.0998978,53.99877779,51.77886703,51.08521081,50.14175479,52.16037863,46.29498711,50.77844661,51.35638904,55.02101062,58.8564877,61.11483462,63.82543225,63.53617434,63.07731689,62.80670717,65.47727748,66.39134618,67.28201597,68.07267849,67.19421022,67.77751321,67.09577216,67.23911283,69.02280101,70.25820499,69.69530253,69.50474528,73.24887391,67.78780537,64.46997443,57.95727157,54.05116941,53.16173245,52.12418771,50.22931882,50.39060165,51.41730336,50.59061938,49.75911287,49.89446435,49.21260712,47.70497163,46.96291252,45.878548,45.91858665,47.23803326,49.02322848,49.55792561,48.14033098,49.28840341,48.19928045,46.58973936
Italy,8.578,9.717,10.875,9.879,10.835,10.674,10.988,11.336,11.672,12.035,12.638,12.98,14.356,15.977,16.362,16.982,18.224,17.902,18.119,17.883,18.876,21.214,23.545,23.507,23.481,21.864,21.797,23.324,24.333,25.894,25.233,26.536,29.606,30.253,31.146,30.835,32.925,35.824,38.03764678,38.3378326,36.87466804,37.39447143,36.31975919,36.51344649,35.61074661,32.52333492,35.84797994,37.58857192,38.82904819,40.35103201,43.05014972,42.3420853,43.50119715,43.85330351,43.99329521,42.31950406,40.9568982,39.68652329,41.13917505,39.98447909,38.857,38.13,35.419,34.022,31.02
Canada,4.5,9.119,14.657,16.819,15.647,15.494,15.812,15.101,14.066,13.16,12.869,13.135,13.643,13.032,13.18,12.214,12.064,12.826,12.459,11.734,11.645,11.971,12.065,11.942,12.286,13.02,13.449,13.957,14.528,14.3,14.728,14.694,15.687,17.261,18.546,19.264,19.664,20.07,20.71581719,20.611049,20.59167172,19.01744202,18.8074274,18.76015941,18.48764195,17.42498313,16.00149445,14.74561421,15.25549509,15.9140709,15.65340999,16.06840234,16.14992326,16.44726169,17.06977225,17.82050506,18.64879151,20.33201634,21.91131444,22.91205645,20.69436965,20.48344752,20.26696511,18.75207963,18.44581629
Turkey,1,0,0,1.941,1.963,1.985,1.838,1.708,1.659,1.974,2.177,2.448,2.607,2.679,2.873,3.01,3.016,3.249,3.632,3.521,3.906,4.476,4.704,4.987,5.591,9.778,10.273,9.891,9.057,8.036,8.329,9.397,10.273,9.72,9.449,10.025,11.264,10.757,9.396156997,10.87186799,13.13698603,13.50442608,14.20454353,15.70491703,15.35445364,15.77393092,17.66017358,18.39923765,19.27935011,21.28728235,20.60133042,18.88567325,20.09432123,18.13601963,16.55115288,15.66854535,16.51158628,15.92483481,16.14207648,17.27588908,16.95586853,17.13001703,17.53784484,17.89753235,17.96412234
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.729,15.354,14.958,16.943,15.82383658,16.37877024,15.3383167,14.86113685,13.7436356,14.94288967,13.45506016,13.94042696,13.61961518,13.74327001,13.50801611,13.86096597,14.35741844,14.54077707,14.88961576,14.74746917,15.22249834,15.33204424,17.92376226,18.51839364,18.5755974,17.81113821,15.96901242,13.98335516,14.69299001,12.70521437,12.84447873
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.468,7.14,7.417,5.223,5.06,5.546,5.536,5.571,5.862,6.414,6.653,6.543,6.351,6.544,6.657,6.92,7.234,7.733,8.235,9.309,8.452,8.912798306,9.326726623,9.45543008,9.538390836,9.457199819,10.67309987
Netherlands,4.789,5.033,5.95,6.315,7.227,7.611,8.152,7.646,6.717,6.039,6.776,7.792,8.272,8.449,9.215,8.883,8.628,9.562,9.452,9.88,10.117,10.58,10.913,11.083,11.592,12.185,12.027,13.404,12.953,13.736,13.364,13.499,14.558,13.338,11.994,13.416,13.62,13.866,13.80359496,13.93412391,13.54205568,13.16467698,13.08992444,12.02865538,11.59990032,11.27057924,11.33545539,11.21683629,11.17645517,11.72126462,11.25889439,11.55473436,11.54224688,11.70664364,11.79459172,11.81697744,12.36687831,12.53352129,12.3169084,12.58270689,12.05291088,11.6479305,10.9452801,10.30993165,10.01095096
