date,USA,France,UK,Germany,Italy,Canada,Turkey,Spain,Other
1950,133.771,20.078,29.712,0,8.578,4.5,1,0,11.46
1951,286.22,26.892,34.983,0,9.717,9.119,0,0,13.714
1952,403.187,34.162,44.751,0,10.875,14.657,0,0,17.367
1953,415.115,38.049,49.719,20.30637701,9.879,16.819,1.941,0,18.943
1954,358.167,32.434,47.202,20.55913153,10.835,15.647,1.963,0,20.236
1955,339.037,30.225,44.943,23.75551417,10.674,15.494,1.985,0,19.366
1956,343.474,38.632,44.112,22.6243243,10.988,15.812,1.838,0,19.966
1957,353.274,41.354,42.596,27.53483157,11.336,15.101,1.708,0,19.992
1958,351.179,38.092,41.479,20.62640319,11.672,14.066,1.659,0,18.768
1959,353.638,38.954,41.269,33.0462239,12.035,13.16,1.974,0,18.437
1960,344.934,39.985,42.122,35.5812876,12.638,12.869,2.177,0,19.58
1961,359.524,41.555,42.081,37.83271666,12.98,13.135,2.448,0,21.874
1962,389.566,42.947,42.622,48.0998978,14.356,13.643,2.607,0,23.897
1963,384.261,42.153,43.35,53.99877779,15.977,13.032,2.679,0,24.308
1964,371.45,43.393,44.524,51.77886703,16.362,13.18,2.873,0,25.96
1965,369.734,44.021,44.658,51.08521081,16.982,12.214,3.01,0,26.261
1966,440.352,45.348,44.417,50.14175479,18.224,12.064,3.016,0,26.701
1967,508.501,47.702,45.552,52.16037863,17.902,12.826,3.249,0,29.457
1968,522.093,47.759,44.903,46.29498711,18.119,12.459,3.632,0,30.709
1969,499.637,45.683,42.435,50.77844661,17.883,11.734,3.521,0,31.499
1970,462.57,45.939,43.709,51.35638904,18.876,11.645,3.906,0,33.144
1971,415.992,46.568,43.613,55.02101062,21.214,11.971,4.476,0,34.711
1972,417.618,47.787,46.39,58.8564877,23.545,12.065,4.704,0,35.701
1973,396.804,49.531,46.544,61.11483462,23.507,11.942,4.987,0,35.773
1974,391.792,49.348,46.557,63.82543225,23.481,12.286,5.591,0,38.902
1975,369.43,51.562,48.913,63.53617434,21.864,13.02,9.778,0,40.663
