date,Canada,USA,Albania,Belgium,Bulgaria,Croatia,Czech Rep.,Denmark,Estonia,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Turkey,UK
1950,0.025882353,0.048708826,0,0,0,0,0,0.01664503,0,0.055408538,0,0.060088354,0,0,0,0,0.013374692,0,0.023684734,0,0,0,0,0,0,0,0.064503875
1951,0.05475763,0.09744731,0,0,0,0,0,0.020529887,0,0.071274292,0,0.066368414,0,0.042582785,0,0,0.015583489,0,0.030482281,0,0,0,0,0,0,0,0.078371189
1952,0.074493445,0.132843985,0,0,0,0,0,0.02739504,0,0.086049304,0,0.064288717,0,0.045029574,0,0,0.02372109,0,0.040082964,0,0,0,0,0,0,0,0.098299748
1953,0.074635348,0.130162119,0,0.048625765,0,0,0,0.033633475,0,0.090140073,0.042136827,0.051145882,0,0.037514758,0,0,0.028858177,0,0.05077809,0,0.040141223,0,0,0,0,0,0.098870721
1954,0.066752101,0.112491127,0,0.048802437,0,0,0,0.031943692,0,0.072868781,0.039734751,0.054935016,0,0.039821777,0,0,0.032583659,0,0.050046055,0,0.041565278,0,0,0,0,0,0.087186041
1955,0.062188034,0.097344023,0,0.037834194,0,0,0,0.031811895,0,0.064107109,0.040836605,0.05113613,0,0.03665929,0,0,0.032280404,0,0.039253645,0,0.042011116,0,0,0,0,0,0.080400205
1956,0.05738253,0.094897703,0,0.03558171,0,0,0,0.03026286,0,0.076911817,0.036236911,0.059415975,0,0.03569554,0,0,0.018954333,0.057937602,0.035212293,0,0.040026546,0,0,0,0,0,0.077066234
1957,0.053065251,0.095774006,0,0.03608387,0,0,0,0.030787953,0,0.073342592,0.04141226,0.05002743,0,0.034790026,0,0,0.019471966,0.053168473,0.0358657,0,0.039796177,0,0,0,0,0,0.07120561
1958,0.048754518,0.096534304,0,0.035709622,0,0,0,0.028771112,0,0.067710739,0.029641991,0.047661407,0,0.034296883,0,0,0.019255193,0.047181996,0.035060088,0,0.039381528,0,0,0,0,0,0.069023861
1959,0.043350846,0.090467308,0,0.03518329,0,0,0,0.025890138,0,0.067088297,0.044277211,0.048564738,0,0.033302027,0,0,0.017570503,0.04023833,0.035758124,0,0.041913547,0,0,0,0,0,0.065262034
1960,0.041928615,0.086195926,0,0.033973491,0,0,0,0.027288776,0,0.064626698,0.040049579,0.04857307,0,0.030595519,0,0,0.010038784,0.041338015,0.032004356,0,0.041245137,0,0,0,0,0.019058129,0.063710205
1961,0.041653511,0.087757331,0,0.032590768,0,0,0,0.025868116,0,0.063044869,0.039731188,0.042435729,0,0.029017793,0,0,0.011070377,0.045545002,0.030042044,0,0.062380648,0,0,0,0,0.037584179,0.062342684
1962,0.0405239,0.089440792,0,0.032847487,0,0,0,0.030182731,0,0.061416971,0.047763342,0.040484345,0,0.029693747,0,0,0.012866951,0.045924205,0.032415179,0,0.068460182,0,0,0,0,0.037041747,0.063181359
1963,0.035695669,0.08465056,0,0.032166269,0,0,0,0.030415239,0,0.056431257,0.052048172,0.038244831,0,0.031042113,0,0,0.011812743,0.044714813,0.032084273,0,0.06282943,0,0,0,0,0.033810264,0.061494952
1964,0.034501132,0.077168688,0,0.032134741,0,0,0,0.028429145,0,0.0540522,0.046576987,0.035735617,0,0.030748138,0,0,0.013789984,0.04385637,0.03119164,0,0.065431144,0,0,0,0,0.034091072,0.060190201
1965,0.028638011,0.072069529,0,0.029730616,0,0,0,0.028321377,0,0.052326782,0.04346194,0.034984677,0,0.030976163,0,0,0.013507302,0.040042635,0.033979365,0,0.060783078,0,0,0,0,0.035383126,0.058264601
1966,0.027245518,0.080708414,0,0.03112591,0,0,0,0.026367497,0,0.051074161,0.041530809,0.0358469,0,0.033694764,0,0,0.013413916,0.03780348,0.035679598,0,0.061410101,0,0,0,0,0.031307541,0.056377491
1967,0.028193061,0.090633672,0,0.03134577,0,0,0,0.025882109,0,0.05113541,0.043319537,0.043457057,0,0.031203488,0,0,0.011025375,0.039503542,0.035125628,0,0.071136852,0,0,0,0,0.032455645,0.056503066
