date,USA,France,UK,Germany,Italy,Canada,Turkey,Spain,Poland,Netherlands,Norway,Greece,Belgium,Denmark,Portugal,Romania,Czech.Rep.,Hungary,Slovakia,Croatia,Bulgaria,Estonia,Slovenia,Lithuania,Latvia,Luxembourg,Albania
1950,133.771,20.078,29.712,0,8.578,4.5,1,0,0,4.789,1.118,1.107,2.296,1.151,0.956,0,0,0,0,0,0,0,0,0,0,0.043,0
1951,286.22,26.892,34.983,0,9.717,9.119,0,0,0,5.033,1.546,1.305,3.398,1.378,0.993,0,0,0,0,0,0,0,0,0,0,0.061,0
1952,403.187,34.162,44.751,0,10.875,14.657,0,0,0,5.95,2.062,1.26,5.022,1.889,1.085,0,0,0,0,0,0,0,0,0,0,0.099,0
1953,415.115,38.049,49.719,20.30637701,9.879,16.819,1.941,0,0,6.315,2.595,1.205,5,2.461,1.256,0,0,0,0,0,0,0,0,0,0,0.111,0
1954,358.167,32.434,47.202,20.55913153,10.835,15.647,1.963,0,0,7.227,2.657,1.297,5.158,2.45,1.32,0,0,0,0,0,0,0,0,0,0,0.127,0
1955,339.037,30.225,44.943,23.75551417,10.674,15.494,1.985,0,0,7.611,2.199,1.319,4.272,2.415,1.412,0,0,0,0,0,0,0,0,0,0,0.138,0
1956,343.474,38.632,44.112,22.6243243,10.988,15.812,1.838,0,0,8.152,2.149,1.704,4.154,2.317,1.402,0,0,0,0,0,0,0,0,0,0,0.088,0
1957,353.274,41.354,42.596,27.53483157,11.336,15.101,1.708,0,0,7.646,2.269,1.775,4.331,2.438,1.44,0,0,0,0,0,0,0,0,0,0,0.093,0
1958,351.179,38.092,41.479,20.62640319,11.672,14.066,1.659,0,0,6.717,2.112,1.748,4.266,2.363,1.472,0,0,0,0,0,0,0,0,0,0,0.09,0
1959,353.638,38.954,41.269,33.0462239,12.035,13.16,1.974,0,0,6.039,2.234,1.81,4.3,2.318,1.652,0,0,0,0,0,0,0,0,0,0,0.084,0
1960,344.934,39.985,42.122,35.5812876,12.638,12.869,2.177,0,0,6.776,2.127,1.923,4.396,2.584,1.719,0,0,0,0,0,0,0,0,0,0,0.055,0
1961,359.524,41.555,42.081,37.83271666,12.98,13.135,2.448,0,0,7.792,2.314,1.86,4.444,2.648,2.756,0,0,0,0,0,0,0,0,0,0,0.06,0
1962,389.566,42.947,42.622,48.0998978,14.356,13.643,2.607,0,0,8.272,2.556,1.891,4.73,3.242,3.133,0,0,0,0,0,0,0,0,0,0,0.073,0
1963,384.261,42.153,43.35,53.99877779,15.977,13.032,2.679,0,0,8.449,2.662,1.939,4.876,3.252,3.06,0,0,0,0,0,0,0,0,0,0,0.07,0
